ID,FULLNAME,POS,AGE,GP,MPG,MINPER,USG,TOr,FTA,FTPER,2PA,2PPER,THRPA,THRPER,PPG,POINTS,RPG,APG,SPG,BPG,TOPG,TEAM,TRUE,Height,Weight,ORTG,DRTG
413,Patrick Patterson,PF,28,82,15.5,32.3,10.8,0.103,46,0.87,95,0.421,171,0.386,3.9,319.8,2.3,0.7,0.59,0.28,0.4,Okc,55.86221353,81,230,114.2,103.7
414,Patty Mills,PG,29,82,25.7,53.5,17.8,0.126,118,0.89,268,0.47,414,0.372,10,820,1.9,2.8,0.67,0.13,1.29,San,55.86439939,72,185,109.2,104.2
415,Pau Gasol,C,37,77,23.5,49,20.4,0.131,209,0.756,507,0.481,120,0.358,10.1,777.7,8,3.1,0.31,1.03,1.4,San,54.08506732,84,250,111.8,98.5
416,Paul George,SF,27,79,36.6,76.2,25.7,0.122,412,0.82,731,0.454,608,0.401,21.9,1730.1,5.7,3.3,2.04,0.49,2.68,Okc,56.9007025,81,220,111.6,101.2
417,Paul Millsap,PF,32,38,29.5,61.6,22.5,0.126,161,0.696,323,0.505,113,0.345,14.6,554.8,6.4,2.8,1.03,1.16,1.92,Den,54.73127614,80,246,109.2,103.8
418,Paul Zipser,PG,26,5,3.8,7.8,14.4,0,,,,,,,0.4,2,0.4,0.2,0,0,0,Uta,16.66666667,80,226,84.5,103.3
419,PJ Dozier,PG,24,1,0.5,1,90,0,,,,,,,3,3,0,0,0,0,0,Uta,150,78,205,,
420,PJ Tucker,SF,32,82,27.8,58,10.5,0.137,60,0.717,131,0.435,310,0.371,6.1,500.2,5.6,0.9,0.94,0.32,0.9,Hou,53.50877193,78,245,107,99.1
421,Quincy Acy,PF,27,70,19.4,40.5,14.4,0.133,60,0.817,73,0.384,292,0.349,5.9,413,3.7,0.8,0.47,0.41,0.86,Bro,52.7593255,79,240,99.5,102.2
422,Quincy Pondexter,PF,37,15,5,10.4,18.2,0.221,,,,,,,2.1,31.5,1.3,0.3,0,0,0.47,Okc,63.71359223,79,225,81.5,101.2
423,Quinn Cook,SF,24,4,2.5,5.2,8.8,0,,,,,,,0,0,0.8,0,0,0,0,Atl,0,74,179,115.3,106.2
424,Rajon Rondo,PG,31,65,26.2,54.6,16.9,0.226,46,0.543,344,0.526,150,0.333,8.3,539.5,4,8.2,1.08,0.15,2.31,Nor,52.45605165,73,186,109.5,104.5
425,Ramon Sessions,PG,31,28,14.025,29.21875,19.28571429,0.181178571,57,0.772,90,0.3778,,,4.878571429,136.6,1.346428571,2.742857143,0.5025,0.074642857,1.107142857,Was,48.41224837,75,190,83.2,106
426,Rashad Vaughn,SF,23,9,13.61111111,28.35648148,14.84444444,0.092333333,,,,,,,3,27,2.444444444,0.666666667,0.222222222,0.333333333,0.222222222,Sac,39.33566434,78,202,112.5,108.8
427,Raul Neto,PG,25,41,12.2,25.3,18.3,0.178,35,0.743,104,0.481,47,0.404,4.5,184.5,1.2,1.8,0.32,0.1,0.88,Uta,55.43870192,73,179,105.8,101.2
428,Raymond Felton,PG,33,82,16.6,34.7,20.3,0.117,44,0.818,322,0.444,230,0.352,6.9,565.8,1.9,2.5,0.6,0.2,0.93,Okc,49.51344161,73,205,105.4,104.8
429,Reggie Bullock,SF,26,62,27.9,58.2,15.7,0.076,49,0.796,265,0.536,281,0.445,11.3,700.6,2.5,1.5,0.76,0.21,0.76,Det,61.72034675,79,205,118.7,108.3
430,Reggie Hearn,PF,25,6,13.3,27.6,10.3,0.055,,,,,,,3.3,19.8,1.8,0.3,0.17,0.17,0.17,Mia,57.15935335,77,210,,
431,Reggie Jackson,PG,27,45,26.7,55.6,27.1,0.135,134,0.836,408,0.475,169,0.308,14.6,657,2.8,5.3,0.6,0.09,2.2,Det,51.65419209,75,208,105.5,104.8
432,Richard Jefferson,F,28,4,18.8,39.1,14.3,0.125,,,,,,,5.5,22,2.8,1.8,0.5,0,0.75,Mem,52.38095238,79,233,106.2,109.4
433,Richaun Holmes,PF,24,48,15.5,32.4,16.7,0.086,56,0.661,211,0.621,31,0.129,6.5,312,4.4,1.3,0.42,0.6,0.52,Phi,58.50585059,82,235,121,93.8
434,Ricky Rubio,PG,27,77,29.3,61,22.9,0.181,254,0.866,554,0.451,273,0.352,13.1,1008.7,4.6,5.3,1.57,0.14,2.69,Uta,53.72512676,76,190,104.8,96.4
435,RJ Hunter,C,31,18,10.08888889,21.01851852,8.955555556,0.232888889,,,,,,,1.233333333,22.19999999,2.577777778,0.144444444,0.11,0.22,0.502222222,Chi,40.04329003,77,185,91.7,91.3
436,Robert Covington,SF,27,80,31.6,65.9,17.2,0.123,136,0.853,286,0.497,550,0.369,12.6,1008,5.4,2,1.71,0.9,1.58,Phi,56.26004644,81,225,106.6,97.8
437,Robin Lopez,C,29,64,26.4,55,20.4,0.135,90,0.756,631,0.536,,,11.8,755.2,4.5,1.9,0.22,0.83,1.67,Chi,55.15629565,84,277,106.1,110.1
438,Rodney Hood,SG,25,60,26.925,56.09375,24.15,0.0736,129,0.860372093,418,0.466330144,333,0.381111111,14.7,882,2.73,1.595,0.749,0.201,1.1685,Cle,54.59542438,80,206,104.1,102.9
439,Rodney McGruder,PG,21,2,1.6,3.3,40.2,0.333,,,,,,,1,2,0.5,0,0,0,0.5,Okc,50,76,200,124.2,105.1
440,Rodney Purvis,SG,29,23,8.5,17.7,15,0.163,,,,,,,2,46,1.2,0.4,0.35,0.09,0.48,Chi,40.7223796,76,205,86.2,107
441,Ron Baker,SG,21,28,7.607142857,15.84821429,13.41428571,0.100428571,,,,,37,0.377972973,2.3,64.4,0.771428571,0.428571429,0.177142857,0.11,0.212857143,Orl,54.91132333,76,220,103.4,105.2
442,Rondae Hollis-Jefferson,SF,23,68,28.2,58.8,22.2,0.124,316,0.788,670,0.491,54,0.241,13.9,945.2,6.8,2.5,0.96,0.71,1.79,Bro,54.75991843,79,214,108.4,104.5
443,Royce O'Neale,SF,24,69,16.7,34.7,14.6,0.148,76,0.803,166,0.47,118,0.356,5,345,3.4,1.4,0.52,0.23,0.8,Uta,54.34097782,78,226,105.5,96.6
444,Rudy Gay,SF,31,57,21.6,45,24.6,0.115,145,0.772,419,0.516,118,0.314,11.5,655.5,5.1,1.3,0.81,0.67,1.37,San,54.55226365,80,230,106,98.2
445,Rudy Gobert,C,25,56,32.4,67.6,16.9,0.157,299,0.682,444,0.622,,,13.5,756,10.7,1.4,0.79,2.3,1.91,Uta,65.67516853,85,245,122.7,96.2
446,Russell Westbrook,PG,29,80,36.4,75.9,34.1,0.164,566,0.737,1361,0.485,326,0.298,25.4,2032,10.1,10.3,1.84,0.25,4.76,Okc,52.47825458,75,200,108.6,100.2
447,Ryan Anderson,PF,29,66,26.1,54.5,14.4,0.076,93,0.774,141,0.539,339,0.386,9.3,613.8,5,0.9,0.36,0.32,0.65,Hou,58.91499654,82,240,121.3,102.6
448,Ryan Arcidiacono,SG,26,3,2.2,4.6,13.4,0,,,,,,,1,3,0,0,0,0,0,Det,75,75,195,105,108.7
449,Salah Mejri,C,31,61,11.9,24.9,12.8,0.19,66,0.576,134,0.657,,,3.5,213.5,4,0.6,0.36,1.1,0.64,Dal,64.29173693,86,235,122.8,91.7
450,Sam Dekker,SF,23,73,12.1,25.2,15.5,0.107,56,0.661,199,0.593,60,0.167,4.2,306.6,2.4,0.5,0.33,0.12,0.47,Lac,54.04738401,81,230,107,104.9
451,Scotty Hopson,SF,37,20,8.2,17,9.3,0.143,,,,,,,1.5,30,0.9,0.8,0.1,0.05,0.25,Den,49.86702128,79,204,53.5,119
452,Sean Kilpatrick,SG,28,52,12.28461538,25.59294872,24.12115385,0.102769231,72,0.888916667,150,0.426806667,144,0.319701389,6.311538462,328.2,1.686538462,0.890384615,0.253269231,0.093269231,0.710576923,Chi,50.38688283,76,212,80.3,109.3
453,Semi Ojeleye,PF,23,73,15.8,32.8,9,0.108,41,0.61,63,0.397,125,0.32,2.7,197.1,2.2,0.3,0.29,0.05,0.34,Bos,47.83051835,79,235,97.2,100.7
454,Serge Ibaka,PF,28,76,27.5,57.4,19.4,0.097,118,0.797,487,0.559,297,0.36,12.6,957.6,6.3,0.8,0.38,1.3,1.18,Tor,57.27820844,82,235,109.3,98.9
455,Shabazz Muhammad,SF,25,43,9.706976744,20.22286822,22.80232558,0.030116279,50,0.7803,161,0.478434783,,,5.002325581,215.1,1.758139535,0.302325581,0.211162791,0.067674419,0.142093023,Mil,51.21428571,78,221,98.7,107.8
456,Shabazz Napier,PG,26,74,20.8,43.2,19.5,0.132,138,0.841,313,0.45,218,0.376,8.7,643.8,2.3,2,1.09,0.19,1.22,Por,54.40073008,73,175,107,103.9
457,Shane Larkin,PG,25,54,14.3,29.9,15.5,0.123,37,0.865,133,0.398,86,0.36,4.3,232.2,1.7,1.8,0.54,0.06,0.61,Bos,49.34546073,71,175,104.7,100.2
458,Shaquille Harrison,PG,24,23,16.7,34.8,18,0.135,38,0.737,98,0.541,,,6.6,151.8,2.7,2.4,1.13,0.3,0.96,Pho,53.93689596,76,190,108.9,102.6
459,Shaun Livingston,PG,32,71,15.9,33.1,16.7,0.136,61,0.82,338,0.509,,,5.5,390.5,1.8,2,0.49,0.3,0.82,Gol,52.79309972,79,192,107.7,103
460,Shelvin Mack,PG,27,69,19.8,41.2,17.6,0.163,97,0.711,275,0.473,139,0.345,6.9,476.1,2.4,3.9,0.78,0.12,1.29,Orl,52.12621529,75,203,106.5,107.4
461,Sindarius Thornwell,SG,23,73,15.8,33,12.1,0.163,88,0.67,172,0.448,61,0.377,3.9,284.7,1.9,0.9,0.66,0.34,0.73,Lac,52.38848815,77,215,100.9,102.7
462,Skal Labissiere,PF,21,60,20.7,43.1,21.1,0.125,118,0.805,407,0.459,51,0.353,8.7,522,4.8,1.2,0.42,0.82,1.22,Sac,51.18449953,83,225,102.9,103.6
463,Solomon Hill,SG,24,5,9,18.8,22.4,0.087,,,,,,,3.8,19,1,0.6,0.6,0,0.4,Hou,45.49808429,79,225,84.4,99.4
464,Spencer Dinwiddie,PG,24,80,28.8,60.1,20.3,0.118,268,0.813,405,0.452,433,0.326,12.6,1008,3.2,6.6,0.86,0.29,1.6,Bro,52.72407733,78,200,114.6,106.7
465,Stanley Johnson,SF,21,69,27.4,57.2,16.4,0.11,145,0.772,326,0.439,234,0.286,8.7,600.3,3.7,1.6,1.38,0.2,1.12,Det,48.11638346,79,245,96.8,100.2
466,Stephen Curry,PG,29,51,32,66.6,31,0.133,302,0.921,363,0.595,501,0.423,26.4,1346.4,5.1,6.1,1.57,0.16,3,Gol,67.53069577,75,190,124.7,104.1
467,Sterling Brown,SG,26,18,16.6,34.6,12.1,0.05,,,,,35,0.429,5.1,91.8,1.8,0.9,0.44,0.17,0.22,Mia,59.98431783,78,230,100.1,102.2
468,Steven Adams,C,24,76,32.7,68.2,16.7,0.132,287,0.557,710,0.631,,,13.9,1056.4,9,1.2,1.21,1.03,1.68,Okc,63.0099728,84,255,124.1,101.9
469,T.J. McConnell,PG,25,76,22.5,46.8,13.8,0.204,39,0.795,359,0.51,62,0.435,6.3,478.8,3,4,1.21,0.17,1.47,Phi,54.63757531,74,190,108.5,101.4
470,Taj Gibson,PF,32,82,33.2,69.3,14.7,0.098,185,0.768,702,0.595,35,0.2,12.2,1000.4,7.1,1.2,0.76,0.72,1.09,Min,61.11925709,81,235,122.6,105.8
471,Tarik Black,C,26,51,10.5,21.9,15.6,0.184,63,0.46,116,0.638,,,3.5,178.5,3.2,0.3,0.41,0.59,0.69,Hou,57.68485005,81,250,110.7,86.5
472,Taurean Prince,SF,23,82,30,62.6,22.1,0.153,180,0.844,518,0.461,457,0.385,14.1,1156.2,4.7,2.6,1.04,0.51,2.33,Atl,54.83779169,80,220,100.2,106.5
473,Terrance Ferguson,SG,24,29,13.3,27.6,10.1,0.203,,,,,33,0.333,2.4,69.6,1,1.6,0.9,0.21,0.62,Nyk,49.09706546,79,184,114.9,102.2
474,Terrence Ross,SF,26,24,25,52.1,17.3,0.123,36,0.75,98,0.469,93,0.323,8.7,208.8,3,1.6,1.13,0.46,1.21,Orl,50.47379617,79,206,96.6,106.1
475,Terry Rozier,PG,23,80,25.9,53.9,20.4,0.085,149,0.772,398,0.41,402,0.381,11.3,904,4.7,2.9,1,0.24,1,Bos,52.22052775,74,190,109.1,100.3
476,Thabo Sefolosha,SF,33,38,21.2,44.2,16.4,0.102,54,0.815,156,0.551,84,0.381,8.2,311.6,4.2,0.9,1.37,0.32,0.79,Uta,59.06885047,79,220,113.8,96.9
477,Thaddeus Young,PF,29,81,32.2,67.1,17.3,0.104,92,0.598,684,0.531,181,0.32,11.8,955.8,6.3,1.9,1.67,0.44,1.3,Ind,52.77863675,80,230,108.4,103.8
478,Thomas Bryant,PG,23,24,12.7,26.4,8.1,0.23,,,,,31,0.29,2,48,1,1.5,0.54,0,0.54,Chi,54.99541705,82,248,99.6,102.5
479,Thon Maker,PF,20,74,16.7,34.9,14.6,0.11,93,0.699,212,0.467,104,0.298,4.8,355.2,3,0.6,0.51,0.72,0.59,Mil,49.75904965,85,223,103.6,100.4
480,Tim Frazier,PG,27,59,14.2,29.6,12.8,0.235,30,0.767,116,0.44,56,0.304,3,177,1.9,3.3,0.8,0.12,0.97,Was,47.78617711,73,170,105.3,98.8
481,Tim Hardaway Jr.,SG,25,57,33.1,68.9,23.8,0.09,179,0.816,446,0.516,410,0.317,17.5,997.5,3.9,2.7,1.11,0.18,1.61,Nyk,53.35594163,78,205,106.3,108.6
482,Tim Quarterman,SG,28,1,8.4,17.5,15.6,0.347,,,,,,,1,1,0,1,0,0,1,Dal,26.59574468,78,190,77.9,100.6
483,Timofey Mozgov,C,31,31,11.6,24.2,16.8,0.237,30,0.767,75,0.64,,,4.2,130.2,3.2,0.4,0.16,0.42,1.06,Bro,61.29943503,85,275,102.9,102.2
484,Timothe Luwawu-Cabarrot,SF,22,52,15.5,32.3,17.5,0.115,58,0.793,109,0.431,158,0.335,5.8,301.6,1.4,1,0.23,0.1,0.73,Phi,51.55203063,78,200,101,99.6
485,TJ Leaf,SF,26,12,15.6,32.5,12.2,0.171,,,,,,,2.4,28.8,3,1.8,0.58,0.08,0.75,Nor,32.99725023,82,230,112.9,103.2
486,TJ Warren,SF,24,65,33,68.6,25,0.067,255,0.757,973,0.523,90,0.222,19.6,1274,5.1,1.3,1,0.63,1.31,Pho,54.20353982,80,215,108.8,110.1
487,Tobias Harris,PF,25,80,33.36,69.5,23.32,0.0724,216,0.828962963,776,0.488166237,445,0.410898876,18.58,1486.4,5.46,2.44,0.89,0.438,1.3,Lac,56.47244765,81,235,113,105
488,Tomas Satoransky,SG,26,73,22.5,46.9,13.7,0.163,96,0.781,283,0.544,101,0.465,7.2,525.6,3.2,3.9,0.7,0.21,1.14,Was,61.65540541,79,210,124.5,104.9
489,Tony Allen,SG,19,61,12.5,26.1,10.4,0.06,,,,,120,0.333,3.1,189.1,0.8,0.3,0.39,0.16,0.18,Okc,54.52710496,76,213,95.2,93.9
490,Tony Bradley,C,20,15,4.8,10,15.8,0.074,,,,,,,1.5,22.5,1.1,0.4,0.07,0.13,0.13,Lal,45.07211538,82,248,,
491,Tony Parker,PG,35,55,19.5,40.6,20.5,0.139,78,0.705,351,0.479,37,0.27,7.7,423.5,1.7,3.5,0.51,0.02,1.24,San,50.13970449,74,185,102.7,104.9
492,Tony Snell,SF,26,75,27.4,57,10.6,0.075,48,0.792,157,0.49,268,0.403,6.9,517.5,1.9,1.3,0.63,0.37,0.48,Mil,58.00008966,79,221,113.4,111
493,Torrey Craig,SG,27,39,16.7,34.7,11.6,0.116,35,0.629,79,0.57,58,0.293,4.2,163.8,3.3,0.6,0.31,0.38,0.51,Den,53.74015748,78,215,111,104.6
494,Travis Wear,SG,23,3,4.2,8.8,20.4,0.34,,,,,,,1.3,3.9,1,0.3,0,0,0.67,Hou,50.25773196,82,225,98.3,97.8
495,Treveon Graham,SG,24,63,16.7,34.7,11.3,0.099,59,0.695,124,0.452,97,0.412,4.3,270.9,1.9,0.9,0.52,0.03,0.43,Cha,54.84693878,77,219,114.6,101.4
496,Trevor Ariza,SF,32,67,33.9,70.6,14.5,0.071,89,0.854,189,0.519,462,0.368,11.7,783.9,4.4,1.6,1.46,0.19,0.79,Hou,56.79117886,80,215,113.8,102.9
497,Trevor Booker,PF,30,68,17.02647059,35.47181373,15.93529412,0.129455882,93,0.709806452,310,0.544851613,33,0.242363636,6.304411765,428.7,4.667647059,1.194117647,0.409411765,0.306764706,0.870588235,Ind,55.83194416,80,228,105.1,101.2
498,Trey Burke,PG,25,36,21.8,45.4,25.2,0.095,57,0.649,279,0.556,105,0.362,12.8,460.8,2,4.7,0.67,0.11,1.19,Nyk,56.32150191,73,191,117,110.9
499,Trey Lyles,PF,22,73,19.1,39.7,21.1,0.09,145,0.697,332,0.563,218,0.381,9.9,722.7,4.8,1.2,0.41,0.47,0.84,Den,58.87096774,82,234,115.9,104.2
500,Trey McKinney-Jones,C,20,9,3.2,6.7,18.4,0,,,,,,,0.9,8.1,1.2,0.1,0,0,0,Uta,34.09090909,77,220,,
501,Tristan Thompson,C,26,53,20.2,42.1,12.6,0.118,79,0.544,235,0.562,,,5.8,307.4,6.6,0.6,0.3,0.32,0.68,Cle,56.97657177,81,238,121.5,103.4
502,Troy Daniels,SG,26,79,20.5,42.8,17.2,0.085,64,0.875,117,0.419,458,0.4,8.9,703.1,1.6,0.6,0.33,0.06,0.71,Pho,58.28470058,76,205,109.5,110.1
503,Troy Williams,SF,23,21,14.66190476,30.54563492,21.38571429,0.129285714,30,0.6669,71,0.563225352,38,0.289184211,6.319047619,132.7,3.023809524,0.785714286,0.954285714,0.194285714,0.905714286,Nyk,54.29623568,79,218,59.2,94.2
504,Tyler Cavanaugh,SF,27,17,13.4,27.9,15.2,0.074,,,,,47,0.362,4.4,74.8,2.2,0.4,0.24,0.29,0.35,Lal,49.52330508,81,238,119.1,101.5
505,Tyler Dorsey,SG,21,56,17.4,36.2,20.1,0.083,63,0.714,183,0.393,200,0.36,7.2,403.2,2.3,1.4,0.3,0.09,0.66,Atl,49.08453448,77,183,100.1,108.6
506,Tyler Ennis,SG,27,1,1.2,2.5,0,,,,,,,,0,0,0,0,0,0,0,Ind,#DIV/0!,75,194,101,100.1
507,Tyler Johnson,SG,25,72,28.5,59.4,18.6,0.095,129,0.822,387,0.491,324,0.367,11.7,842.4,3.4,2.3,0.83,0.47,1.13,Mia,54.86089403,76,190,108.9,103.7
508,Tyler Lydon,PF,21,1,2.2,4.6,0,,,,,,,,0,0,0,0,0,0,0,Den,#DIV/0!,81,220,,
509,Tyler Ulis,PG,22,71,23.4,48.7,18.5,0.176,101,0.832,405,0.425,146,0.288,7.8,553.8,1.8,4.4,0.99,0.1,1.79,Pho,46.50342604,70,160,96.3,110.1
510,Tyler Zeller,C,28,66,16.77272727,34.94318182,16.48181818,0.111909091,79,0.721835443,306,0.578781046,,,6.663636364,439.8,4.6,0.736363636,0.226363636,0.514545455,0.71,Mil,59.63228116,84,250,113.3,102
511,Tyreke Evans,SF,28,52,30.9,64.4,28.4,0.115,209,0.785,523,0.482,286,0.399,19.4,1008.8,5.1,5.2,1.1,0.33,2.25,Mem,55.9847274,78,220,111.5,108.7
512,Tyrone Wallace,SG,23,30,28.4,59.1,16.6,0.141,78,0.782,207,0.483,40,0.25,9.7,291,3.5,2.4,0.9,0.43,1.53,Lac,51.72046069,77,198,102.3,104.2
513,Tyson Chandler,C,35,46,25,52.1,10.6,0.205,94,0.617,187,0.647,,,6.5,299,9.1,1.2,0.35,0.59,1.28,Pho,65.4668068,85,240,122.3,104.5
514,Tyus Jones,PG,21,82,17.9,37.3,12.7,0.14,81,0.877,199,0.528,129,0.349,5.1,418.2,1.6,2.8,1.16,0.06,0.72,Min,57.50192498,74,184,119.3,105.6
515,Udonis Haslem,PF,37,14,5.1,10.7,11.2,0.112,,,,,,,0.6,8.4,0.7,0.4,0,0.14,0.14,Mia,26.44836272,80,235,71.6,109.4
516,Vander Blue,G,25,5,9,18.7,8.4,0.338,,,,,,,0.6,3,0.2,0.6,0.2,0,0.6,Lal,25.51020408,77,200,51.8,110.7
517,Victor Oladipo,SG,25,75,34,70.9,30.1,0.127,368,0.799,908,0.528,434,0.371,23.1,1732.5,5.2,4.3,2.35,0.76,2.92,Ind,57.59947338,76,210,109.7,102.3
518,Vince Carter,SG,41,58,17.7,36.9,14.7,0.107,37,0.757,118,0.483,165,0.345,5.4,313.2,2.6,1.2,0.72,0.45,0.62,Sac,52.3255814,78,220,103.7,104.5
519,Vincent Hunter,SF,23,4,1.9,3.9,36.4,0.167,,,,,,,1.5,6,0.8,0,0,0.25,0.25,Mem,60,80,208,,
520,Wade Baldwin IV,PG,21,7,11.5,24,16,0.136,,,,,,,5.4,37.8,1.1,0.7,0.29,0.14,0.57,Por,74.40944882,76,202,131.5,95.4
521,Walter Lemon Jr.,PG,25,5,7,14.6,26.3,0.188,,,,,,,3.4,17,0.4,1,0,0.2,0.8,Nor,49.07621247,75,180,88,101.4
522,Wayne Ellington,SG,30,77,26.5,55.2,17.3,0.066,78,0.859,121,0.479,579,0.392,11.2,862.4,2.8,1,0.69,0.1,0.68,Mia,58.72099357,77,200,113.7,107.2
523,Wayne Selden,G,23,35,19.8,41.2,22.7,0.155,59,0.746,147,0.456,122,0.402,9.3,325.5,1.6,1.9,0.51,0.14,1.54,Mem,55.17697315,77,230,101.7,108.8
524,Wes Iwundu,SG,23,62,16.5,34.3,11.6,0.112,47,0.723,172,0.488,46,0.196,3.7,229.4,2.2,0.9,0.53,0.19,0.48,Orl,48.05597453,79,195,100.4,106.6
525,Wesley Johnson,SF,30,74,20.1,41.8,13,0.123,58,0.741,191,0.471,177,0.339,5.4,399.6,2.9,0.8,1.03,0.84,0.74,Lac,50.77251474,79,215,99.5,102.2
526,Wesley Matthews,SG,31,63,33.8,70.5,17.6,0.101,101,0.822,295,0.441,402,0.381,12.7,800.1,3.1,2.7,1.21,0.25,1.32,Dal,53.95581571,77,220,105.1,106.9
527,Will Barton,SG,27,81,33.1,69,20.7,0.117,226,0.805,606,0.51,422,0.37,15.7,1271.7,5,4.1,1.01,0.64,1.85,Den,56.3976797,78,190,113.1,107.8
528,Willie Cauley-Stein,C,24,73,28,58.3,21.8,0.11,247,0.619,760,0.507,,,12.8,934.4,7,2.4,1.05,0.92,1.49,Sac,53.04991597,84,240,106.6,103.3
529,Willie Reed,PF,27,42,10.15714286,21.16071429,15.94285714,0.107714286,55,0.582,119,0.671781513,,,4.6,193.2,2.9,0.207142857,0.213571429,0.52,0.455,Det,66.52892562,83,245,124.8,98.6
530,Willy Hernangomez,C,23,48,10.32916667,21.51909722,21.20833333,0.148791667,90,0.655644444,153,0.56254902,,,5.125,246,3.8375,0.6625,0.374166667,0.334166667,0.706666667,Cha,60.11730205,83,240,102.3,97.4
531,Wilson Chandler,SF,30,74,31.7,66.1,14.3,0.119,114,0.772,385,0.501,246,0.358,10,740,5.4,2.1,0.58,0.53,1.24,Den,54.31910271,81,225,110.2,108.1
532,Xavier Munford,PG,25,6,3.5,7.2,19.3,0.225,,,,,,,0.5,3,0.2,0.7,0.17,0,0.33,Mil,21.80232558,76,173,,
533,Xavier Rathan-Mayes,SG,23,5,23.6,49.1,21.7,0.193,,,,,,,5.8,29,1,3.6,1.2,0.6,2.2,Mem,31.54917319,76,208,67.8,99.5
534,Xavier Silas,G,30,2,3.8,7.8,17.9,0,,,,,,,0,0,1,0,0.5,0,0,Bos,0,77,205,,
535,Yogi Ferrell,PG,24,82,27.8,58,17,0.091,103,0.796,372,0.476,359,0.373,10.2,836.4,3,2.5,0.78,0.11,0.95,Dal,53.86953833,72,180,106.9,106.8
536,Zach Collins,C,20,66,15.8,33,15.4,0.161,42,0.643,177,0.452,113,0.31,4.4,290.4,3.3,0.8,0.26,0.47,0.89,Por,47.06950207,84,230,92.6,96.1
537,Zach LaVine,SG,22,24,27.3,57,29.5,0.097,107,0.813,232,0.405,123,0.341,16.7,400.8,4,3,1,0.17,1.79,Chi,49.8408277,77,185,99.2,105.1
538,Zach Randolph,PF,36,59,25.6,53.2,27.6,0.125,107,0.785,616,0.503,147,0.347,14.5,855.5,6.7,2.2,0.71,0.17,1.97,Sac,52.80342682,81,250,101.6,105
539,Zaza Pachulia,C,33,69,14.1,29.3,17,0.194,93,0.806,262,0.569,,,5.4,372.6,4.7,1.6,0.55,0.25,1.06,Gol,61.29902606,83,270,117.6,95.6
540,Zhou Qi,PF,22,18,6.9,14.4,16.8,0.212,,,,,,,1.2,21.6,1.2,0.1,0.11,0.78,0.56,Hou,28.96995708,85,210,60.8,98.2
